mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_classifier,param_convector__min_df,param_dim_reduce,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score
0.7946097373962402,0.014079268903445444,0.18047785758972168,0.007809732090465612,"SVC(C=10000, kernel='linear', random_state=42)",3,"TruncatedSVD(n_components=5, random_state=0)","{'classifier': SVC(C=10000, kernel='linear', random_state=42), 'convector__min_df': 3, 'dim_reduce': TruncatedSVD(n_components=5, random_state=0)}",0.9424603174603174,0.9384920634920635,0.9384920634920635,0.9206349206349206,0.9206349206349206,0.9321428571428572,0.009507260754532511,33
1.5454303741455078,0.16873479283540438,0.15753049850463868,0.005183136880116614,"SVC(C=10000, kernel='linear', random_state=42)",3,"TruncatedSVD(n_components=30, random_state=0)","{'classifier': SVC(C=10000, kernel='linear', random_state=42), 'convector__min_df': 3, 'dim_reduce': TruncatedSVD(n_components=30, random_state=0)}",0.9424603174603174,0.9484126984126984,0.9543650793650794,0.9444444444444444,0.9285714285714286,0.9436507936507936,0.008566282994017023,26
2.4627652168273926,0.4767920652811377,0.1623241901397705,0.012498012774738816,"SVC(C=10000, kernel='linear', random_state=42)",3,"TruncatedSVD(n_components=80, random_state=0)","{'classifier': SVC(C=10000, kernel='linear', random_state=42), 'convector__min_df': 3, 'dim_reduce': TruncatedSVD(n_components=80, random_state=0)}",0.9543650793650794,0.9682539682539683,0.9642857142857143,0.9384920634920635,0.9444444444444444,0.9539682539682539,0.01132170049022787,12
1.0449658393859864,0.036335029525561675,0.1913815975189209,0.011537373221829265,"SVC(C=10000, kernel='linear', random_state=42)",3,"NMF(n_components=5, random_state=0)","{'classifier': SVC(C=10000, kernel='linear', random_state=42), 'convector__min_df': 3, 'dim_reduce': NMF(n_components=5, random_state=0)}",0.9404761904761905,0.9384920634920635,0.9464285714285714,0.9285714285714286,0.9206349206349206,0.9349206349206349,0.009170015879596306,30
4.5518687725067135,0.9486186832216104,0.19602270126342775,0.0034935690633070356,"SVC(C=10000, kernel='linear', random_state=42)",3,"NMF(n_components=30, random_state=0)","{'classifier': SVC(C=10000, kernel='linear', random_state=42), 'convector__min_df': 3, 'dim_reduce': NMF(n_components=30, random_state=0)}",0.9583333333333334,0.9523809523809523,0.9583333333333334,0.9404761904761905,0.9384920634920635,0.9496031746031746,0.00856628299401704,16
19.16979866027832,3.5963122383928114,0.2651761531829834,0.010596591705956452,"SVC(C=10000, kernel='linear', random_state=42)",3,"NMF(n_components=80, random_state=0)","{'classifier': SVC(C=10000, kernel='linear', random_state=42), 'convector__min_df': 3, 'dim_reduce': NMF(n_components=80, random_state=0)}",0.9523809523809523,0.9722222222222222,0.9642857142857143,0.9444444444444444,0.9563492063492064,0.9579365079365079,0.009589719026662369,4
0.7588193416595459,0.020557426857700626,0.17382612228393554,0.004726160652285995,"SVC(C=10000, kernel='linear', random_state=42)",5,"TruncatedSVD(n_components=5, random_state=0)","{'classifier': SVC(C=10000, kernel='linear', random_state=42), 'convector__min_df': 5, 'dim_reduce': TruncatedSVD(n_components=5, random_state=0)}",0.9384920634920635,0.9365079365079365,0.9404761904761905,0.9226190476190477,0.9246031746031746,0.9325396825396826,0.007423923386456206,32
1.7092219352722169,0.3176691970822724,0.14954981803894044,0.0061076732880371775,"SVC(C=10000, kernel='linear', random_state=42)",5,"TruncatedSVD(n_components=30, random_state=0)","{'classifier': SVC(C=10000, kernel='linear', random_state=42), 'convector__min_df': 5, 'dim_reduce': TruncatedSVD(n_components=30, random_state=0)}",0.9404761904761905,0.9543650793650794,0.9543650793650794,0.9444444444444444,0.9265873015873016,0.944047619047619,0.010302186496624746,23
2.468329381942749,0.33082145139216734,0.15270133018493653,0.008118194850806178,"SVC(C=10000, kernel='linear', random_state=42)",5,"TruncatedSVD(n_components=80, random_state=0)","{'classifier': SVC(C=10000, kernel='linear', random_state=42), 'convector__min_df': 5, 'dim_reduce': TruncatedSVD(n_components=80, random_state=0)}",0.9523809523809523,0.9722222222222222,0.9603174603174603,0.9365079365079365,0.9424603174603174,0.9527777777777777,0.0126984126984127,14
0.9210101127624511,0.046623896910952124,0.19492716789245607,0.00570020190413283,"SVC(C=10000, kernel='linear', random_state=42)",5,"NMF(n_components=5, random_state=0)","{'classifier': SVC(C=10000, kernel='linear', random_state=42), 'convector__min_df': 5, 'dim_reduce': NMF(n_components=5, random_state=0)}",0.9404761904761905,0.9384920634920635,0.9404761904761905,0.9265873015873016,0.9206349206349206,0.9333333333333333,0.00819038390498028,31
3.4734108448028564,0.6780449368424676,0.20068349838256835,0.009233757532869962,"SVC(C=10000, kernel='linear', random_state=42)",5,"NMF(n_components=30, random_state=0)","{'classifier': SVC(C=10000, kernel='linear', random_state=42), 'convector__min_df': 5, 'dim_reduce': NMF(n_components=30, random_state=0)}",0.9384920634920635,0.9543650793650794,0.9543650793650794,0.9444444444444444,0.9345238095238095,0.9452380952380952,0.008093681767607616,20
15.276626062393188,3.1576970926299643,0.23602795600891113,0.00599560856897832,"SVC(C=10000, kernel='linear', random_state=42)",5,"NMF(n_components=80, random_state=0)","{'classifier': SVC(C=10000, kernel='linear', random_state=42), 'convector__min_df': 5, 'dim_reduce': NMF(n_components=80, random_state=0)}",0.9523809523809523,0.9682539682539683,0.9603174603174603,0.9484126984126984,0.9543650793650794,0.9567460317460317,0.00691888721196934,9
